         4554614 function calls (4553858 primitive calls) in 15.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        1    0.000    0.000    0.000    0.000 parser.py:2(<module>)
    11/10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:903(create_module)
      422    0.000    0.000    0.000    0.000 {method 'typeof' of 'CompiledFFI' objects}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
      262    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        8    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.056    0.056 __init__.py:1067(init)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       17    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.774    0.774 main.py:168(__init__)
       71    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
       43    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
       40    0.000    0.000    0.000    0.000 subprocess.py:1480(<genexpr>)
       12    0.000    0.000    0.003    0.000 sre_compile.py:516(_code)
       12    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      132    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
        4    0.000    0.000    0.000    0.000 platform.py:796(_follow_symlinks)
        1    0.000    0.000    0.000    0.000 posixpath.py:377(_joinrealpath)
       82    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
       11    0.000    0.000    0.000    0.000 os.py:796(encode)
        1    0.000    0.000    0.000    0.000 console.py:2(<module>)
       94    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
        4    0.000    0.000    0.000    0.000 warnings.py:371(__enter__)
        6    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
      110    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       22    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       34    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
        2    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
       52    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(set_font)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
       59    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
       18    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
      157    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        2    0.000    0.000    0.002    0.001 __init__.py:331(__init__)
